stage,trial,mean_score,std_score,radio_p_min,radio_p_max,radio_w_req,radio_w_load,radio_w_inter,radio_w_block,radio_w_demand,radio_sig_k,radio_ch_min,radio_ch_max,radio_w_cov,radio_w_chmatch,radio_w_block_ch,radio_w_demand_ch,radio_sig_k_ch,compute_off_base,compute_off_demand_k,compute_off_queue_k,compute_cpu_base,compute_cpu_queue_k,compute_cpu_demand_k,compute_cpu_min
radio,20,21.06245325942049,0.0,0.4394981772890645,0.6538208833652588,1.0721360718952746,1.028445740380829,1.7151442882451151,0.9255987311870317,0.770178992200707,8.756069441133992,0.10793289477527919,0.44084946712007195,0.9557545480474916,0.83377873718977,0.4651398810577474,0.735023620230256,6.297532048436227,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,21,17.925841967223352,0.0,0.21374778220627272,0.7517856318907716,1.3714866909118908,0.5937529491425706,1.8977158534306808,1.8326960390763558,0.9618208566001571,5.955250845042199,0.19669348064390102,0.9015643177028559,1.305174681120204,1.6087836558941548,1.0654445521314804,1.2658352585352415,5.593400527642156,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,22,21.27009503680215,0.0,0.4174465811551454,0.6809618372502874,1.3895962576369965,1.7214381366517881,0.26420567460308786,1.2287594810838396,0.1901914964598692,9.531440654442843,0.04788276221176167,0.9583608847554069,0.2748158600756043,1.9177604918181608,1.6017683521701933,1.1873640089327082,10.043616941665922,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,23,23.173373516012834,0.0,0.44755741949154293,0.9784108251269321,0.5067667076783744,1.1801517907166184,0.19009839512880244,1.2323314000482426,0.3425826081855776,8.084555503251977,0.20890206963117036,0.6528903494377978,1.0452635510262456,1.5278467800131759,1.5984894330241333,0.9843064311508583,8.396340973703511,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,24,21.56313555620261,0.0,0.515618117845051,0.6616415399502786,0.234207131800221,0.17541802382153682,1.3157265700810556,0.837216601580759,1.5486428322836865,9.041082719777332,0.1301004602483186,0.9339382557849982,1.5250642941413046,0.5410698818203514,0.728384035544108,0.6288799604085258,4.418504837624997,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,25,19.421761011033453,0.0,0.12389168627109583,0.9744509853502976,0.8758080743975065,0.7666396455548197,1.4593714173547558,1.1059861305057999,1.8722799736769244,10.022713445184529,0.17819195616109829,0.5946336577625371,1.973263089848644,1.435520472007287,1.9023893200076822,0.23695715443408272,10.654803112717044,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,26,20.739832703388014,0.0,0.3685369419956038,0.648768671334045,1.1765159999384414,1.3721927302108976,0.024605371777205676,0.9086359236834931,1.6507990223926423,5.658231228096809,0.17132086699352184,0.6375041825941306,0.6038547828849832,1.8368837910311084,1.5625880708630318,0.221176821992221,11.973311920538158,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,27,22.60014464098546,0.0,0.4896000121538726,0.7135633751456156,1.6737931593218764,0.21283906374276573,1.9982094609484773,1.3313694722130738,1.300250031117594,3.8139665428571945,0.3160210216358863,0.3688496770829051,0.4816561160822941,0.28604375033327,1.553535881384437,0.39640845442579575,11.195744044177967,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,28,19.926233783952174,0.0,0.37813451966374506,0.6144650841978785,0.010859668257400923,0.10331583402879785,1.2118503552954554,1.6029636217188306,0.47710564125477695,10.644679586307657,0.038886540250575925,0.8706265048670896,1.8555908603445608,1.5442167982087611,1.3962415679572744,1.6759604373107662,3.361361695923598,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,29,14.433358872425993,0.0,0.15089105535952768,0.6499694717222572,1.009061980385973,1.490376256657689,1.2600236891527974,1.70226219952387,0.31042598488218176,9.611589827416454,0.08370369198673835,0.5259931883565702,1.4198093945626078,1.9604095697973636,1.2230872119541392,0.10900062998259119,8.546780729347795,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,30,21.175836150024725,0.0,0.07117527579008355,0.9536582845467269,1.4191565702012414,0.34625569284500646,0.18344201164839613,0.36706645776063795,1.960054359108385,7.127045782126409,0.2787467129526646,0.763665422370055,1.1448262999172747,0.2902605093300994,1.8920489071161901,0.6026852650294359,8.20215494226788,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,31,22.26623275675443,0.0,0.39988797229453305,0.8596932620981235,1.8811888193910369,0.296877979840116,1.0167054768938841,0.8080687814815319,0.9483374589652362,4.072957735779702,0.06425122125801255,0.5307491047578172,0.6094092075216626,0.8558064273627,1.2219750940732566,1.269258234836526,6.706298069270132,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,32,21.163924547056027,0.0,0.25439155471434854,0.6870514106787848,1.1766124968180165,0.6340818226344758,0.0721196685547274,0.8368000883137208,0.9482653501803406,5.030335813837899,0.20891111793029815,0.7177517352807485,1.4040043622207428,1.29589696440242,1.3048661130420631,0.6324283036480862,10.086889997873584,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,33,20.683724420613007,0.0,0.3245721917998397,0.772567278071956,1.2520249618821142,0.7213146689005085,1.0254784892135165,1.4734113769644406,1.7728057734474154,11.289514775656725,0.1861988653104227,0.6881788245813699,1.599740821527673,0.6289013834884025,1.6747647246901372,0.9882832930348469,4.042710519017415,0.05,0.3,1.2,0.1,1.2,0.4,0.0
