algorithm,method,seed,user_id,mean_qoe
MAPPO,mappo,43,37,0.7992635501405109
MAPPO,mappo,43,38,0.8004306325047459
MAPPO,mappo,43,39,0.8019956539102412
MAPPO,mappo,43,40,0.7630169038479172
MAPPO,mappo,43,41,0.7747263552632603
MAPPO,mappo,43,42,0.7747483703610493
MAPPO,mappo,43,43,0.8010267715066587
MAPPO,mappo,43,44,0.7786755093148022
MAPPO,mappo,43,45,0.7514174663565486
MAPPO,mappo,43,46,0.7327933107311578
MAPPO,mappo,43,47,0.7907810172799219
MAPPO,mappo,43,48,0.8077941449381891
MAPPO,mappo,43,49,0.7860138342347032
MAPPO,mappo,43,50,0.7360713861755662
MAPPO,mappo,43,51,0.7453882365561528
MAPPO,mappo,43,52,0.7521952554372296
MAPPO,mappo,43,53,0.780478385327321
MAPPO,mappo,43,54,0.7651885268379521
MAPPO,mappo,43,55,0.7856896198313261
MAPPO,mappo,43,56,0.7820701542012493
MAPPO,mappo,43,57,0.764214510741718
MAPPO,mappo,43,58,0.7482253924884221
MAPPO,mappo,43,59,0.7761706170379541
MAPPO,mappo,43,60,0.8156801327029146
MAPPO,mappo,43,61,0.730560026349272
MAPPO,mappo,43,62,0.7795236983812565
MAPPO,mappo,43,63,0.7572722924458846
MAPPO,mappo,43,64,0.7511161654542207
MAPPO,mappo,43,65,0.7692123330661481
MAPPO,mappo,43,66,0.7890240225492714
MAPPO,mappo,43,67,0.7504606214264274
MAPPO,mappo,43,68,0.7660880437785267
MAPPO,mappo,43,69,0.7718988417841184
MAPPO,mappo,43,70,0.7396084133869533
MAPPO,mappo,43,71,0.7656988117755009
MAPPO,mappo,43,72,0.768225348780783
MAPPO,mappo,43,73,0.7786826974078545
MAPPO,mappo,43,74,0.7896298620918488
MAPPO,mappo,43,75,0.791731471019063
MAPPO,mappo,43,76,0.7645485928391685
MAPPO,mappo,43,77,0.7831660555913637
MAPPO,mappo,43,78,0.78834958489127
MAPPO,mappo,43,79,0.7850990322715922
MAPPO,mappo,44,0,0.7629566769934444
MAPPO,mappo,44,1,0.7424452495167398
MAPPO,mappo,44,2,0.7656333067722044
MAPPO,mappo,44,3,0.7417673990854153
MAPPO,mappo,44,4,0.7383532114823788
MAPPO,mappo,44,5,0.7213245405379072
MAPPO,mappo,44,6,0.7531114650833899
MAPPO,mappo,44,7,0.7790507331729509
MAPPO,mappo,44,8,0.7799765832307507
MAPPO,mappo,44,9,0.7765401343379796
MAPPO,mappo,44,10,0.7333502989188501
MAPPO,mappo,44,11,0.762788859987459
MAPPO,mappo,44,12,0.7173967948398418
MAPPO,mappo,44,13,0.7361940284495992
MAPPO,mappo,44,14,0.7725964091802672
MAPPO,mappo,44,15,0.731140329361311
MAPPO,mappo,44,16,0.7246448075815775
MAPPO,mappo,44,17,0.7578906292044326
MAPPO,mappo,44,18,0.7757972637981604
MAPPO,mappo,44,19,0.7186426782981891
MAPPO,mappo,44,20,0.7668713341352142
MAPPO,mappo,44,21,0.7864014119415599
MAPPO,mappo,44,22,0.8013167609501269
MAPPO,mappo,44,23,0.7527985933049272
MAPPO,mappo,44,24,0.7429694149948689
MAPPO,mappo,44,25,0.7534458655263314
MAPPO,mappo,44,26,0.7745354473173556
MAPPO,mappo,44,27,0.7765308254293737
MAPPO,mappo,44,28,0.732386865232803
MAPPO,mappo,44,29,0.7453744855310657
MAPPO,mappo,44,30,0.8281943787013105
MAPPO,mappo,44,31,0.7659013529525817
MAPPO,mappo,44,32,0.7545710310774316
MAPPO,mappo,44,33,0.7510505613221481
MAPPO,mappo,44,34,0.802425728527195
MAPPO,mappo,44,35,0.7448457389762013
MAPPO,mappo,44,36,0.7662795010252205
MAPPO,mappo,44,37,0.7930248568047703
MAPPO,mappo,44,38,0.794605569383368
MAPPO,mappo,44,39,0.7955867854753947
MAPPO,mappo,44,40,0.7560860361251318
MAPPO,mappo,44,41,0.7664406091108624
MAPPO,mappo,44,42,0.7683000413844763
MAPPO,mappo,44,43,0.7941340396842971
MAPPO,mappo,44,44,0.7717902572950822
MAPPO,mappo,44,45,0.7436613073571016
MAPPO,mappo,44,46,0.7251334154529252
MAPPO,mappo,44,47,0.7841212863367241
MAPPO,mappo,44,48,0.8019216371403954
MAPPO,mappo,44,49,0.777665014800097
MAPPO,mappo,44,50,0.7287376154213009
MAPPO,mappo,44,51,0.73683357799756
MAPPO,mappo,44,52,0.7452304881408962
MAPPO,mappo,44,53,0.7723922653429203
MAPPO,mappo,44,54,0.7587954407598256
MAPPO,mappo,44,55,0.77921047758172
MAPPO,mappo,44,56,0.7749918879142487
MAPPO,mappo,44,57,0.7567155654568153
MAPPO,mappo,44,58,0.7414707239923214
MAPPO,mappo,44,59,0.7688424680762533
MAPPO,mappo,44,60,0.8086949726865775
MAPPO,mappo,44,61,0.7224305692528994
MAPPO,mappo,44,62,0.7726886142816837
MAPPO,mappo,44,63,0.7481134954626841
MAPPO,mappo,44,64,0.7434369856245383
MAPPO,mappo,44,65,0.7627556208186356
MAPPO,mappo,44,66,0.7821483325799266
MAPPO,mappo,44,67,0.7416148668871437
MAPPO,mappo,44,68,0.7576329310926186
MAPPO,mappo,44,69,0.7651126151137352
MAPPO,mappo,44,70,0.7327225810554768
MAPPO,mappo,44,71,0.7572216291998237
MAPPO,mappo,44,72,0.7613441524830478
MAPPO,mappo,44,73,0.7719955093875123
MAPPO,mappo,44,74,0.7837138223419325
MAPPO,mappo,44,75,0.7852856455974818
MAPPO,mappo,44,76,0.7564237631851111
MAPPO,mappo,44,77,0.7760985164084819
MAPPO,mappo,44,78,0.7838867257438927
MAPPO,mappo,44,79,0.7776032385451088
MA-A2C,ma_a2c,42,0,0.7257433816974406
MA-A2C,ma_a2c,42,1,0.7054570689249561
MA-A2C,ma_a2c,42,2,0.7296576026116479
MA-A2C,ma_a2c,42,3,0.7029337303444687
MA-A2C,ma_a2c,42,4,0.6998824721139179
MA-A2C,ma_a2c,42,5,0.6808038421453868
MA-A2C,ma_a2c,42,6,0.7089149338628209
MA-A2C,ma_a2c,42,7,0.7407946941246979
MA-A2C,ma_a2c,42,8,0.7437555260652069
MA-A2C,ma_a2c,42,9,0.7371533361856526
MA-A2C,ma_a2c,42,10,0.6913744647776854
MA-A2C,ma_a2c,42,11,0.7220808906703716
MA-A2C,ma_a2c,42,12,0.6764020935508014
MA-A2C,ma_a2c,42,13,0.6957582424701994
MA-A2C,ma_a2c,42,14,0.7303536398569214
MA-A2C,ma_a2c,42,15,0.6893505189598216
MA-A2C,ma_a2c,42,16,0.6853105527480976
MA-A2C,ma_a2c,42,17,0.7157706754433241
MA-A2C,ma_a2c,42,18,0.7379924736281844
MA-A2C,ma_a2c,42,19,0.6812708279291275
MA-A2C,ma_a2c,42,20,0.7259129490177113
MA-A2C,ma_a2c,42,21,0.7459140470609227
MA-A2C,ma_a2c,42,22,0.7605683259926059
MA-A2C,ma_a2c,42,23,0.7131233544483243
MA-A2C,ma_a2c,42,24,0.7041811602516996
MA-A2C,ma_a2c,42,25,0.714678637992527
MA-A2C,ma_a2c,42,26,0.7303588003141414
MA-A2C,ma_a2c,42,27,0.7349521202000253
MA-A2C,ma_a2c,42,28,0.6921778446032426
MA-A2C,ma_a2c,42,29,0.7072565116153208
MA-A2C,ma_a2c,42,30,0.7882396662366801
MA-A2C,ma_a2c,42,31,0.7266156553499585
MA-A2C,ma_a2c,42,32,0.7142116258968135
MA-A2C,ma_a2c,42,33,0.7101360055823429
MA-A2C,ma_a2c,42,34,0.7600553340031176
MA-A2C,ma_a2c,42,35,0.7038895930812766
MA-A2C,ma_a2c,42,36,0.724125845523057
MA-A2C,ma_a2c,42,37,0.7525838355911643
MA-A2C,ma_a2c,42,38,0.7514168423059243
MA-A2C,ma_a2c,42,39,0.7513486906848557
MA-A2C,ma_a2c,42,40,0.7139224196475673
MA-A2C,ma_a2c,42,41,0.726807475314339
MA-A2C,ma_a2c,42,42,0.726046499807644
MA-A2C,ma_a2c,42,43,0.7542722270757284
MA-A2C,ma_a2c,42,44,0.7304360952221114
MA-A2C,ma_a2c,42,45,0.7046545650369984
MA-A2C,ma_a2c,42,46,0.687434723707037
MA-A2C,ma_a2c,42,47,0.7422452057643623
MA-A2C,ma_a2c,42,48,0.7607935374331322
MA-A2C,ma_a2c,42,49,0.7401684402354888
MA-A2C,ma_a2c,42,50,0.6887505093041031
MA-A2C,ma_a2c,42,51,0.7020637633347739
MA-A2C,ma_a2c,42,52,0.7028290110252875
MA-A2C,ma_a2c,42,53,0.7342802401060873
MA-A2C,ma_a2c,42,54,0.7149155837784734
MA-A2C,ma_a2c,42,55,0.7384066625521568
MA-A2C,ma_a2c,42,56,0.7351467180598429
MA-A2C,ma_a2c,42,57,0.7160134511896261
MA-A2C,ma_a2c,42,58,0.7017764771250945
MA-A2C,ma_a2c,42,59,0.7280047801775105
MA-A2C,ma_a2c,42,60,0.7681606448177019
MA-A2C,ma_a2c,42,61,0.6830544748859684
MA-A2C,ma_a2c,42,62,0.7322758112628169
